SMILES,cleaned_smiles,scaffolds
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,c1ccc2scnc2c1
CCN1C(=O)NC(c2ccccc2)C1=O,CCN1C(=O)NC(c2ccccc2)C1=O,O=C1NC(=O)C(c2ccccc2)N1
CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,C1=C2CCC3C4CCCC4CCC3C2CCC1
CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,c1ccccc1
CC(O)(P(=O)(O)O)P(=O)(O)O,CC(O)(P(=O)(O)O)P(=O)(O)O,
CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,
O=S(=O)(Cl)c1ccccc1,,c1ccccc1
O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,c1ccc(Oc2ccccc2)cc1
OC[C@H](O)[C@@H](O)[C@H](O)CO,OC[C@H](O)[C@@H](O)[C@H](O)CO,
CCCCCCCC(=O)[O-].CCCCCCCC(=O)[O-].[Zn+2],CCCCCCCC(=O)O,
